block,,splite,,cos
41,2.157894737,12,6,0.859423096
28,1.473684211,2,1,0.812755454
20,1.052631579,2,1,0.957841489
27,1.421052632,2,1,0.820516151
34,1.789473684,3,1.5,0.958314847
19,1,2,1,0.971428571
30,1.578947368,2,1,0.924012658
46,2.421052632,3,1.5,0.966963786
20,1.052631579,2,1,0.957841489
29,1.526315789,2,1,0.43465076
42,2.210526316,4,2,0.967083483
27,1.421052632,2,1,0.820516151
45,2.368421053,3,1.5,0.725811767
19,1,2,1,0.971428571
100,5.263157895,2,1,0.425521808
51,2.684210526,3,1.5,0.930949336
