block,,splite,,cos
43,2.263157895,3,1.5,0.800123143
58,3.052631579,3,1.5,0.805992593
52,2.736842105,3,1.5,0.821161537
47,2.473684211,4,2,0.662241362
60,3.157894737,3,1.5,0.692889052
21,1.105263158,2,1,0.944809024
40,2.105263158,3,1.5,0.954763446
21,1.105263158,2,1,0.944809024
44,2.315789474,3,1.5,0.762770071
26,1.368421053,2,1,0.812755454
56,2.947368421,3,1.5,0.937809778
60,3.157894737,3,1.5,0.845154255
56,2.947368421,3,1.5,0.937809778
44,2.315789474,3,1.5,0.762770071
39,2.052631579,3,1.5,0.79427041
52,2.736842105,3,1.5,0.583211844
21,1.105263158,2,1,0.944809024
21,1.105263158,2,1,0.944809024
60,3.157894737,3,1.5,0.934353184
46,2.421052632,3,1.5,0.760921626
65,3.421052632,3,1.5,0.910522402
127,6.684210526,3,1.5,0.703866365
37,1.947368421,3,1.5,0.899218915
33,1.736842105,2,1,0.874271837
49,2.578947368,3,1.5,0.845888852
60,3.157894737,3,1.5,0.934353184
55,2.894736842,3,1.5,0.941177208
33,1.736842105,3,1.5,0.883388465
38,2,3,1.5,0.870288801
57,3,3,1.5,0.929153124
55,2.894736842,3,1.5,0.941177208
65,3.421052632,3,1.5,0.746765832
541,28.47368421,22,11,0.566052082
56,2.947368421,5,2.5,0.903874116
29,1.526315789,2,1,0.894427191
29,1.526315789,3,1.5,0.867317016
27,1.421052632,2,1,0.843308266
68,3.578947368,4,2,0.877317737
82,4.315789474,5,2.5,0.845195683
18,0.947368421,2,1,0.985610761
21,1.105263158,2,1,0.944809024
431,22.68421053,43,21.5,0.693975725
20,1.052631579,2,1,0.932294445
33,1.736842105,2,1,0.692820323
22,1.157894737,2,1,0.908688223
28,1.473684211,3,1.5,0.845154255
202,10.63157895,5,2.5,0.421357671
38,2,3,1.5,0.95668077
258,13.57894737,20,10,0.67909231
103,5.421052632,7,3.5,0.911567653
18,0.947368421,2,1,0.985610761
55,2.894736842,6,3,0.82481591
38,2,2,1,0.751286554
33,1.736842105,2,1,0.80951096
8,0.421052632,1,0.5,0.657375735
170,8.947368421,12,6,0.790062048
50,2.631578947,3,1.5,0.94454534
34,1.789473684,3,1.5,0.958314847
88,4.631578947,5,2.5,0.775356112
4,0.210526316,2,1,0.591607978
53,2.789473684,4,2,0.835108905
38,2,3,1.5,0.897085227
114,6,11,5.5,0.715078197
55,2.894736842,3,1.5,0.799687683
24,1.263157895,2,1,0.948683298
20,1.052631579,3,1.5,0.932294445
21,1.105263158,2,1,0.944809024
25,1.315789474,2,1,0.905508747
75,3.947368421,4,2,0.785257419
235,12.36842105,10,5,0.736891772
18,0.947368421,2,1,0.985610761
19,1,2,1,0.971428571
27,1.421052632,2,1,0.820516151
38,2,4,2,0.9258201
48,2.526315789,3,1.5,0.813157113
19,1,3,1.5,0.971428571
28,1.473684211,2,1,0.807406194
21,1.105263158,2,1,0.944809024
38,2,3,1.5,0.956622209
26,1.368421053,4,2,0.915475416
26,1.368421053,2,1,0.957087935
20,1.052631579,2,1,0.986013297
21,1.105263158,2,1,0.944809024
23,1.210526316,2,1,0.941743312
30,1.578947368,2,1,0.848528137
18,0.947368421,2,1,0.985610761
520,27.36842105,21,10.5,0.571965392
48,2.526315789,3,1.5,0.901611461
21,1.105263158,3,1.5,0.944809024
