block,splite,cos
19,2,1.0
31,3,0.7704410777299012
19,2,1.0
21,2,0.828416869579514
19,2,1.0
19,2,1.0
23,2,0.9239364353597956
19,2,1.0
34,3,0.9686459273720998
100,5,0.9416472308615168
100,7,0.972901908957031
19,2,1.0
19,2,1.0
19,2,1.0
43,2,0.8447003587480189
19,2,1.0
97,7,0.8731863823339118
46,4,0.9660917830792958
38,3,0.9566807697649697
55,4,0.9454158211700113
34,3,0.9902586757499068
19,5,0.9725975251592748
19,2,1.0
23,2,0.9682614658984554
19,2,1.0
182,10,0.5015265912270735
43,4,0.8794100160729891
19,2,1.0
19,2,1.0
45,4,0.8364857768130285
21,2,0.9725975251592748
27,2,0.48059237506334923
21,2,0.961571661806999
27,4,0.9318553698829808
19,2,1.0
17,2,0.971482785150266
19,2,1.0
19,2,1.0
38,4,1.0
20,2,0.9860132971832692
